ID,C1,C2,C3,C4,C5
1,0.0,0.31,0.48,0.185,0.025
2,0.005,0.075,0.27,0.335,0.315
3,0.0,0.1,0.325,0.215,0.36
4,0.02,0.4803125,0.3596875,0.095,0.045
5,0.035,0.15,0.155,0.59,0.07
6,0.18,0.395,0.36,0.06,0.005
7,0.01,0.16,0.18,0.615,0.035
8,0.02,0.8133333333333332,0.13666666666666666,0.03,0.0
9,0.015,0.7007142857142857,0.20857142857142857,0.030714285714285715,0.045
10,0.015,0.35736111111111113,0.2526388888888889,0.04,0.335
11,0.06704545454545455,0.25727272727272726,0.115,0.055,0.5056818181818182
12,0.07,0.23,0.15,0.05,0.5
13,0.09,0.195,0.075,0.065,0.575
14,0.145,0.39,0.345,0.06,0.06
15,0.005,0.92,0.07,0.005,0.0
16,0.04,0.79,0.105,0.06,0.005
17,0.015,0.645,0.285,0.03,0.025
18,0.035,0.6332608695652173,0.3017391304347826,0.03,0.0
19,0.025,0.7632608695652173,0.17173913043478262,0.035,0.005
20,0.04,0.725,0.16,0.07,0.005
21,0.035,0.91,0.035,0.01,0.01
22,0.06,0.29,0.285,0.365,0.0
23,0.29,0.635,0.035,0.03,0.01
24,0.625,0.27,0.075,0.03,0.0
25,0.57,0.35,0.055,0.02,0.005
26,0.145,0.71,0.11,0.03,0.005
27,0.795,0.145,0.055,0.005,0.0
28,0.76,0.16,0.06,0.02,0.0
29,0.07,0.86,0.055,0.01,0.005
30,0.035,0.805,0.145,0.005,0.01
31,0.45,0.52,0.015,0.01,0.005
32,0.025,0.69,0.265,0.02,0.0
33,0.015,0.735,0.245,0.005,0.0
34,0.015,0.64,0.275,0.045,0.025
35,0.04,0.5671031746031746,0.3478174603174603,0.04507936507936508,0.0
36,0.04,0.4265079365079365,0.4984126984126984,0.03507936507936508,0.0
37,0.02,0.565,0.315,0.06,0.04
38,0.02,0.31,0.59,0.055,0.025
39,0.05,0.7514553990610328,0.17222222222222222,0.021251956181533648,0.0050704225352112674
40,0.025,0.255,0.55,0.17,0.0
41,0.02,0.5641176470588235,0.3552941176470588,0.060588235294117644,0.0
42,0.02,0.5282142857142857,0.18607142857142858,0.24035714285714285,0.025357142857142856
43,0.035,0.315,0.315,0.25,0.085
44,0.005,0.325,0.325,0.315,0.03
45,0.085,0.67,0.19,0.04,0.015
46,0.06035087719298246,0.8036842105263159,0.08070175438596491,0.04026315789473684,0.015
47,0.00011494252873563218,0.33912191445260975,0.3004512907480686,0.350311852270586,0.01
48,0.015,0.335,0.545,0.075,0.03
49,0.015,0.695,0.21,0.04,0.04
50,0.005,0.27,0.245,0.38,0.1
51,0.0,0.275,0.21,0.36,0.155
52,0.01,0.11,0.63,0.18,0.07
53,0.005,0.2,0.535,0.09,0.17
54,0.015,0.18,0.435,0.11,0.26
55,0.03,0.65,0.225,0.06,0.035
56,0.01,0.215,0.305,0.275,0.195
57,0.06,0.36,0.21,0.275,0.095
58,0.035,0.34,0.235,0.28,0.11
59,0.005,0.565,0.375,0.05,0.005
60,0.04,0.44,0.11,0.07,0.34
61,0.05,0.185,0.165,0.235,0.365
62,0.055,0.295,0.175,0.355,0.12
63,0.06,0.275,0.15,0.305,0.21
64,0.045,0.355,0.23,0.225,0.145
65,0.06,0.39,0.305,0.195,0.05
66,0.015,0.66,0.155,0.095,0.075
67,0.01,0.245,0.635,0.08,0.03
68,0.015237348858038513,0.33438050455291835,0.5403821465890432,0.085,0.025
69,0.06,0.405,0.355,0.165,0.015
70,0.065,0.38,0.315,0.21,0.03
71,0.16,0.395,0.215,0.165,0.065
72,0.1,0.175,0.365,0.29,0.07
73,0.055,0.23625,0.5425,0.09625,0.07
74,0.04037037037037037,0.15296296296296297,0.5514035087719298,0.17,0.08526315789473685
75,0.57,0.215,0.155,0.045,0.015
